Year,Site,Date,Observer,Obs_effort,Transport,Survey_area,Nest_searching,Banding,Aqua_prey,Terre_prey,Pond_hydro,Pred_lemm,Other_activity,Notes
2014,nome,20-May-14,ekwon,6,foot,central,y,n,n,n,n,n,resighting,
2014,nome,20-May-14,dhodkinson,6,foot,east,y,n,n,n,n,n,resighting,
2014,nome,21-May-14,dhodkinson,5.5,foot,central,y,n,n,n,n,n,resighting,
2014,nome,21-May-14,ekwon,5.5,foot,west,y,n,n,n,n,n,resighting,
2014,nome,22-May-14,dhodkinson,8,foot,central,y,n,n,n,n,n,resighting,
2014,nome,22-May-14,ekwon,8,foot,west/east,y,n,n,n,n,n,resighting,
2014,nome,23-May-14,dhodkinson,1,foot,west,y,n,n,n,n,n,resighting,
2014,nome,24-May-14,ekwon,1.5,foot,central,y,n,n,n,n,n,resighting,
2014,nome,24-May-14,dhodkinson,1.5,foot,west,y,n,n,n,n,n,resighting,
2014,nome,25-May-14,dhodkinson,7,foot,central/east,y,n,n,n,n,n,,
2014,nome,25-May-14,sfranks,7,foot,central/east,y,n,n,n,n,n,,
2014,nome,25-May-14,ekwon,5,foot,west,y,n,n,n,n,n,,
2014,nome,25-May-14,eweiser,5,foot,west,y,n,n,n,n,n,,
2014,nome,26-May-14,sfranks,8,foot,central,y,n,n,n,n,n,,
2014,nome,26-May-14,eweiser,8,foot,central,y,n,n,n,n,n,,
2014,nome,26-May-14,dhodkinson,7.5,foot,east,y,n,n,n,n,n,,
2014,nome,26-May-14,ekwon,7.5,foot,west,y,n,n,n,n,n,,
2014,nome,27-May-14,dhodkinson,5.5,foot,central,y,n,n,n,n,n,,
2014,nome,27-May-14,ekwon,5.5,foot,east,y,n,n,n,n,n,,
2014,nome,27-May-14,eweiser,5.5,foot,east,y,n,n,n,n,n,,
2014,nome,27-May-14,sfranks,4.5,foot,west,y,n,n,n,n,n,,
2014,nome,28-May-14,dhodkinson,7,foot,central,y,n,n,n,n,n,,
2014,nome,28-May-14,ekwon,8,foot,east,y,n,n,n,n,n,,
2014,nome,28-May-14,eweiser,8,foot,east,y,n,n,n,n,n,,
2014,nome,28-May-14,sfranks,7.5,foot,west,y,n,n,n,n,n,,
2014,nome,29-May-14,ekwon,9.5,foot,central,y,n,n,n,n,n,,
2014,nome,29-May-14,sfranks,9.5,foot,east,y,n,n,n,n,n,,
2014,nome,29-May-14,eweiser,7,foot,east,y,n,n,n,n,n,,
2014,nome,29-May-14,dhodkinson,5.5,foot,west,y,n,n,n,n,n,,
2014,nome,31-May-14,ekwon,6,foot,central,y,n,n,n,n,n,,
2014,nome,31-May-14,eweiser,6,foot,east,y,n,n,n,n,n,,
2014,nome,31-May-14,sfranks,6,foot,east/central,y,n,n,n,n,n,,
2014,nome,31-May-14,dhodkinson,5,foot,west,y,n,n,n,n,n,,
2014,nome,01-Jun-14,eweiser,6,foot,central,y,n,n,n,n,n,,
2014,nome,01-Jun-14,dhodkinson,6,foot,east,y,n,n,n,n,n,,
2014,nome,01-Jun-14,sfranks,6,foot,east,y,n,n,n,n,n,,
2014,nome,01-Jun-14,ekwon,5.5,foot,west/central,y,n,n,n,n,n,,
2014,nome,02-Jun-14,eweiser,9,foot,central,y,n,n,n,n,n,,
2014,nome,02-Jun-14,dhodkinson,7,foot,east,y,y,n,n,n,n,,
2014,nome,02-Jun-14,sfranks,7,foot,east,y,y,n,n,n,n,,
2014,nome,02-Jun-14,ekwon,6,foot,west/central,y,n,n,n,n,n,,
2014,nome,03-Jun-14,dhodkinson,4,foot,east,y,y,n,n,n,n,,
2014,nome,03-Jun-14,ekwon,4,foot,east,y,y,n,n,n,n,,
2014,nome,03-Jun-14,sfranks,8,foot,east/central,y,y,n,n,n,n,,
2014,nome,03-Jun-14,eweiser,6,foot,west,y,n,n,n,n,n,,
2014,nome,04-Jun-14,dhodkinson,7,foot,central,y,y,n,n,n,n,,
2014,nome,04-Jun-14,ekwon,5,foot,east,y,y,n,n,n,n,,
