Site,Year,Date,Start_time,End_time,Transect_ID,Start_lat,End_lat,Start_lon,End_lon,Observer,brle_count,cole_count,unle_count
ikpi,2011,15-Jun-11,10:00,17:30,plot1,70.56475,70.55595,154.67144,154.67668,mmudge,0,0,0
ikpi,2012,16-Jun-12,10:10,18:05,plot6,70.5308,70.53975,154.68693,154.68341,mmudge,0,0,0
ikpi,2011,17-Jun-11,10:30,17:30,plot10,70.54079,70.54728,154.75922,154.74055,mmudge,0,1,0
ikpi,2012,27-Jun-12,10:30,16:20,plot6,70.5308,70.53975,154.68693,154.68341,mmudge,0,0,0
ikpi,2012,17-Jun-12,10:30,17:41,plot9,70.53647,70.5446,154.75169,154.74032,mmudge,0,1,0
ikpi,2011,9-Jul-11,11:13,12:35,plot1,70.56475,70.55595,154.67144,154.67668,mmudge,0,0,0
ikpi,2012,8-Jul-12,11:35,12:40,plot8,70.54038,70.5476,154.6785,154.6625,mmudge,0,0,0
ikpi,2011,10-Jul-11,12:10,13:29,plot5,70.53323,70.53585,154.71998,154.69433,mmudge,0,0,0
ikpi,2011,9-Jul-11,13:30,16:20,plot2,70.55684,70.5555,154.69867,154.72511,mmudge,0,0,0
ikpi,2011,10-Jul-11,13:47,15:10,plot7,70.5348,70.53978,154.71918,154.69688,mmudge,0,0,0
ikpi,2012,7-Jul-12,14:54,16:15,plot3,70.56718,70.55834,154.71345,154.70919,mmudge,0,0,0
ikpi,2012,7-Jul-12,16:26,17:31,plot2,70.55684,70.5555,154.69867,154.72511,mmudge,0,0,0
coat,2014,14-Jun-14,9:00,11:30,lem1,62.85182,62.88327,82.48478,82.46372,sflemming,0,0,0
prba,2011,4-Jul-11,8:41,10:33,22,70.24628,70.2383,148.07735,148.0897,skolbe,0,0,0
prba,2011,27-Jun-11,9:00,11:28,2,70.27148,70.26305,148.54416,148.55305,skolbe,0,0,0
prba,2011,29-Jun-11,9:04,11:42,12,70.35033,70.35325,148.65177,148.62656,skolbe,0,0,0
prba,2011,9-Jul-11,10:20,11:23,9,70.20101,70.20904,148.5189,148.53036,skolbe,0,0,0
prba,2011,30-Jun-11,10:30,13:30,10,70.21377,70.22212,148.5118,148.52107,skolbe,0,0,0
prba,2011,16-Jul-11,10:34,11:24,8,70.35368,70.34536,148.78352,148.77359,skolbe,0,0,0
prba,2011,12-Jul-11,11:09,12:10,1,70.27622,70.2674,148.53428,148.53943,skolbe,0,0,0
prba,2011,2-Jul-11,12:43,14:30,5,70.27642,70.26928,148.80746,148.79143,skolbe,0,0,0
prba,2011,1-Jul-11,13:12,15:14,7,70.35429,70.34528,148.76209,148.76034,skolbe,0,0,0
prba,2011,8-Jul-11,14:35,16:12,21,70.23574,70.23844,148.0777,148.10294,skolbe,0,0,0
prba,2011,7-Jul-11,15:51,16:41,6,70.27946,70.27367,148.79816,148.7779,skolbe,0,0,0
made,2011,9-Jul-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,2,0,0
made,2011,4-Jul-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,30-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,22-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,21-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,20-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,18-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
made,2011,16-Jun-11,,,,69.370833,69.370833,134.887778,134.887778,sskinner,1,0,0
